"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C2","1","22uF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C3","1","100 nF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C4","1","470nF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C5","1","100nF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C6","1","4.7uF","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"D1,D2,D3,D4,D5","5","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","Batt +","","","","MountingHole:MountingHole_4.3mm_M4_ISO7380_Pad_TopBottom","~"
"J2","1","Batt -","","","","MountingHole:MountingHole_4.3mm_M4_ISO7380_Pad_TopBottom","~"
"J3","1","Sys +","","","","MountingHole:MountingHole_4.3mm_M4_ISO7380_Pad_TopBottom","~"
"J4","1","Sys -","","","","MountingHole:MountingHole_4.3mm_M4_ISO7380_Pad_TopBottom","~"
"J_PA0","1","TestPoint","","","","TestPoint:TestPoint_Pad_4.0x4.0mm","~"
"R1","1","1.5M - 0.1%","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2","1","200k - 0.1%","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3","1","26.1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R4,R5,R6,R7","4","30","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R8","1","300k - 0.1%","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R9,R10,R11","3","10K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R_SENSE3","1","10m","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
"U1","1","MAX17263xxTE","","","","Package_DFN_QFN:DFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm","https://datasheets.maximintegrated.com/en/ds/MAX17263.pdf"
"U2","1","PTSM82903SISB2R","","","","TPSM82903:SIS0011A-MFG","PTSM82903SISB2R"
"U3","1","ATtiny402-SS","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny202-402-AVR-MCU-with-Core-Independent-Peripherals_and-picoPower-40001969A.pdf"
